what,kind,bundleId,bundleVersion,description,time
started,bundle,ch.ethz.iks.r_osgi.remote,1.0.0.RC4_v20110829-0349,"ch.ethz.iks.r_osgi.remote",1328511894536
started,bundle,org.eclipse.ecf.provider.r_osgi,3.2.0.v20110829-0349,"org.eclipse.ecf.provider.r_osgi",1328511894539
started,bundle,org.eclipse.ecf.provider.xmpp,3.2.0.v20110829-0349,"org.eclipse.ecf.provider.xmpp",1328511894550
started,bundle,org.eclipse.ecf.provider.zookeeper,1.0.100.v20110829-0349,"org.eclipse.ecf.provider.zookeeper",1328511894550
started,bundle,org.eclipse.ecf.remoteservice.rest,2.1.0.v20110829-0349,"org.eclipse.ecf.remoteservice.rest",1328511894551
started,bundle,org.eclipse.ecf.storage,2.0.0.v20110829-0349,"org.eclipse.ecf.storage",1328511894551
started,bundle,org.eclipse.ecf.presence.collab.ui,1.3.0.v20110829-0349,"org.eclipse.ecf.presence.collab.ui",1328511894552
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1328511894555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328511899133
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328511903532
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1328511904061
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1328511904062
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1328511904068
started,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1328511904069
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1328511904084
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1328511904087
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1328511904115
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1328511904147
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1328511904150
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1328511904155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328511921378
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1328512175870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328512841807
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328512841991
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328512842061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328512853531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328512856570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328512856629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328512858811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328512859788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328512870428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328512870551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328512887883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328512903089
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328513935642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328513959065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328513959682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328513994816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514173029
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328514178953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514251875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514336784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514349296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514436033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514436516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514451845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514532337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514532783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514533225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514572685
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328514599235
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328514599307
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328514881808
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328514884240
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328514884313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514919707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514931482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514935649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514938370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328514958925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328515242992
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328515275571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328515290493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328515493285
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328515499784
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328515499847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328515572206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328516105731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328516118922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328516277764
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328516288249
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328516288467
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328516288521
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328516320002
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328516322775
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328516365453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328516370480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328519147890
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328519161700
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328519184228
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1328519187934
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1328519187935
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1328519187948
