what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696329069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696332631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696333670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696392306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696521114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696557919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696559211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696577194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696674800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696708721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696779709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696786770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696835807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696873605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696984097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696988872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696989323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328696991398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697002847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697018012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697023963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697141093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697149701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697150795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697159556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697160016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697163200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697166666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697167690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697748148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697752236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697773066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328697776804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328697780259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697781869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328697785823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697787644
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328697798918
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328697798918
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328697803673
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328697803847
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328697806533
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328697806711
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328697824427
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328697824667
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328697824728
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328697833325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697874650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697874755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328697898743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328697909794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697918459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697942877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328697942943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328697946514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328698009337
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328698021307
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328698021307
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328698023374
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328698023374
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328698025614
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328698025820
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328698025874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328698036984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328698037436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328698086916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328698090300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328698092098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328698092243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328698095198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328698102711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328698108825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328698108950
